# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
-28.558923+0.000000j 23.607107+0.000000j 1.911659+0.000000j
-26.955271+0.000000j 23.586786+0.000000j 3.188360+0.000000j
-26.248694+0.000000j 24.178353+0.000000j 2.800033+0.000000j
-27.246601+0.000000j 24.240360+0.000000j 2.818428+0.000000j
-27.061725+0.000000j 24.772843+0.000000j 2.742233+0.000000j
-26.408113+0.000000j 25.118279+0.000000j 2.923818+0.000000j
-26.402721+0.000000j 24.994668+0.000000j 3.444343+0.000000j
-25.807501+0.000000j 25.580371+0.000000j 3.994493+0.000000j
-25.530017+0.000000j 24.723628+0.000000j 4.429227+0.000000j
-25.281830+0.000000j 24.302653+0.000000j 5.716511+0.000000j
-25.079673+0.000000j 24.376982+0.000000j 5.956615+0.000000j
-24.807913+0.000000j 24.371594+0.000000j 6.043119+0.000000j
-25.205903+0.000000j 25.285673+0.000000j 6.120978+0.000000j
-25.008482+0.000000j 25.123419+0.000000j 7.087776+0.000000j
-25.352347+0.000000j 25.878313+0.000000j 7.525867+0.000000j
-25.074974+0.000000j 25.897000+0.000000j 7.813928+0.000000j
-24.727967+0.000000j 25.896933+0.000000j 8.162564+0.000000j
-24.792873+0.000000j 25.342758+0.000000j 8.992430+0.000000j
-24.544873+0.000000j 26.293338+0.000000j 9.179228+0.000000j
-23.563948+0.000000j 25.577528+0.000000j 9.651590+0.000000j
-23.240285+0.000000j 25.675331+0.000000j 10.033737+0.000000j
-22.763519+0.000000j 25.605852+0.000000j 10.653015+0.000000j
-22.534438+0.000000j 25.256185+0.000000j 11.561450+0.000000j
-22.551544+0.000000j 25.031069+0.000000j 12.535632+0.000000j
-22.242742+0.000000j 24.847688+0.000000j 13.589762+0.000000j
-21.839862+0.000000j 24.894971+0.000000j 14.192470+0.000000j
-21.211314+0.000000j 25.147801+0.000000j 14.785704+0.000000j
-20.952231+0.000000j 26.061580+0.000000j 15.098569+0.000000j
-20.634431+0.000000j 26.980279+0.000000j 15.333079+0.000000j
-20.296970+0.000000j 27.161339+0.000000j 16.256842+0.000000j
-20.243745+0.000000j 28.158756+0.000000j 16.305073+0.000000j
-20.106694+0.000000j 29.146797+0.000000j 16.375735+0.000000j
-19.993308+0.000000j 30.136538+0.000000j 16.462658+0.000000j
-19.993677+0.000000j 31.133666+0.000000j 16.538395+0.000000j
-19.658820+0.000000j 32.055722+0.000000j 16.732517+0.000000j
-19.365741+0.000000j 31.960999+0.000000j 17.683901+0.000000j
-18.399597+0.000000j 32.315924+0.000000j 18.226440+0.000000j
-18.125317+0.000000j 31.948384+0.000000j 19.115083+0.000000j
-17.697975+0.000000j 31.949926+0.000000j 20.019171+0.000000j
-32.299946+0.000000j 27.876525+0.000000j 8.504488+0.000000j
-32.024113+0.000000j 27.980966+0.000000j 9.159989+0.000000j
